2023-08-21 20:05:04.315 INFO  --- [           main] com.cqupt.art.ArtMarketNoticeApplication : No active profile set, falling back to default profiles: default
2023-08-21 20:05:10.098 INFO  --- [           main] com.cqupt.art.ArtMarketNoticeApplication : Started ArtMarketNoticeApplication in 8.46 seconds (JVM running for 11.001)
2023-08-21 20:05:16.311 INFO  --- [  restartedMain] c.c.art.order.ArtMarketOrderApplication  : No active profile set, falling back to default profiles: default
2023-08-21 20:05:20.124 INFO  --- [  restartedMain] c.c.art.order.config.CorsFilterConfig    : corsFilter
2023-08-21 20:05:27.199 INFO  --- [           main] c.c.a.s.ArtMarketSeckillApplication      : No active profile set, falling back to default profiles: default
2023-08-21 20:05:29.637 INFO  --- [           main] c.c.art.seckill.config.CorsFilterConfig  : corsFilter
2023-08-21 20:05:37.465 INFO  --- [           main] c.cqupt.art.sms.ArtMarketSmsApplication  : No active profile set, falling back to default profiles: default
2023-08-21 20:05:46.667 INFO  --- [           main] c.cqupt.art.sms.ArtMarketSmsApplication  : Started ArtMarketSmsApplication in 11.558 seconds (JVM running for 13.61)
2023-08-21 20:05:57.926 INFO  --- [           main] com.cqupt.art.ArtMarketUserApplication   : No active profile set, falling back to default profiles: default
2023-08-21 20:06:00.090 INFO  --- [           main] com.cqupt.art.config.CorsFilterConfig    : corsFilter
2023-08-21 20:06:08.138 INFO  --- [           main] com.cqupt.art.ArtMarketUserApplication   : Started ArtMarketUserApplication in 12.104 seconds (JVM running for 13.804)
2023-08-21 20:06:24.082 INFO  --- [           main] c.c.a.s.ArtMarketSeckillApplication      : No active profile set, falling back to default profiles: default
2023-08-21 20:06:25.369 INFO  --- [           main] c.c.art.seckill.config.CorsFilterConfig  : corsFilter
2023-08-21 20:06:54.052 INFO  --- [           main] c.c.art.chain.ArtMarketChainApplication  : No active profile set, falling back to default profiles: default
2023-08-21 21:05:16.722 INFO  --- [           main] c.c.a.s.ArtMarketSeckillApplication      : No active profile set, falling back to default profiles: default
2023-08-21 21:05:18.030 INFO  --- [           main] c.c.art.seckill.config.CorsFilterConfig  : corsFilter
2023-08-21 21:07:10.990 INFO  --- [           main] c.c.a.s.ArtMarketSeckillApplication      : No active profile set, falling back to default profiles: default
2023-08-21 21:07:12.472 INFO  --- [           main] c.c.art.seckill.config.CorsFilterConfig  : corsFilter
2023-08-21 21:07:16.561 INFO  --- [           main] c.c.a.s.ArtMarketSeckillApplication      : Started ArtMarketSeckillApplication in 7.045 seconds (JVM running for 8.086)
